,open,high,low,close,volume,range,range_shift1,target
2021-03-02 08:32:00,60.9,60.9,60.8,60.9,85056.5986601,0.05000000000000071,0.09999999999999787,61.0
2021-03-02 08:33:00,61.0,61.0,60.9,61.0,92791.89965625,0.05000000000000071,0.05000000000000071,61.05
2021-03-02 08:34:00,60.9,61.0,60.9,60.9,81887.92078964,0.05000000000000071,0.05000000000000071,60.95
2021-03-02 08:35:00,60.9,61.0,60.7,60.9,290252.96619406,0.14999999999999858,0.05000000000000071,60.95
2021-03-02 08:36:00,60.9,60.9,60.8,60.9,68738.43630018,0.05000000000000071,0.14999999999999858,61.05
2021-03-02 08:37:00,60.9,60.9,60.9,60.9,58659.0601894,0.0,0.05000000000000071,60.95
2021-03-02 08:38:00,60.9,60.9,60.7,60.8,260486.25785347,0.09999999999999787,0.0,60.9
2021-03-02 08:39:00,60.8,60.8,60.7,60.7,118906.38491118,0.04999999999999716,0.09999999999999787,60.89999999999999
2021-03-02 08:40:00,60.8,60.8,60.7,60.7,76070.86795974,0.04999999999999716,0.04999999999999716,60.849999999999994
2021-03-02 08:41:00,60.7,60.7,60.6,60.7,170327.62132624,0.05000000000000071,0.04999999999999716,60.75
2021-03-02 08:42:00,60.7,61.0,60.7,60.9,88158.61758721,0.14999999999999858,0.05000000000000071,60.75
2021-03-02 08:43:00,60.9,60.9,60.8,60.8,9886.7936347,0.05000000000000071,0.14999999999999858,61.05
2021-03-02 08:44:00,60.8,61.0,60.7,60.8,119355.78528083,0.14999999999999858,0.05000000000000071,60.849999999999994
2021-03-02 08:45:00,60.9,61.0,60.8,61.0,67657.30880476,0.10000000000000142,0.14999999999999858,61.05
2021-03-02 08:46:00,60.9,61.0,60.9,61.0,40089.0,0.05000000000000071,0.10000000000000142,61.0
2021-03-02 08:47:00,60.9,61.0,60.8,61.0,43576.18422485,0.10000000000000142,0.05000000000000071,60.95
2021-03-02 08:48:00,60.9,60.9,60.8,60.9,46448.85353595,0.05000000000000071,0.10000000000000142,61.0
2021-03-02 08:49:00,60.9,60.9,60.9,60.9,169714.27368695,0.0,0.05000000000000071,60.95
2021-03-02 08:50:00,61.0,61.1,61.0,61.1,89852.83606308,0.05000000000000071,0.0,61.0
2021-03-02 08:51:00,61.0,61.1,61.0,61.1,140903.83738091,0.05000000000000071,0.05000000000000071,61.05
2021-03-02 08:52:00,61.1,61.1,61.1,61.1,139052.84785524,0.0,0.05000000000000071,61.150000000000006
2021-03-02 08:53:00,61.2,61.2,61.1,61.1,49903.55153771,0.05000000000000071,0.0,61.2
2021-03-02 08:54:00,61.1,61.3,61.1,61.3,208411.64481028,0.09999999999999787,0.05000000000000071,61.150000000000006
2021-03-02 08:55:00,61.3,61.5,61.3,61.5,171363.06208663,0.10000000000000142,0.09999999999999787,61.39999999999999
2021-03-02 08:56:00,61.5,61.9,61.3,61.7,444364.57738854,0.3000000000000007,0.10000000000000142,61.6
2021-03-02 08:57:00,61.5,61.7,61.2,61.3,987468.32000525,0.25,0.3000000000000007,61.8
2021-03-02 08:58:00,61.3,61.5,61.3,61.5,171967.88682193,0.10000000000000142,0.25,61.55
2021-03-02 08:59:00,61.4,61.5,61.3,61.5,100339.83091825,0.10000000000000142,0.10000000000000142,61.5
